Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
H3CCFO (1.38) mode 10,1478.11,-0.06,1478.05,1478.11,-0.06,0.01,1477.97,0.08,1477.97,0.08,0.01
H3CCFO (1.38) mode 11,1486.55,0.03,1486.58,1486.54,0.04,0.01,1486.49,0.09,1486.49,0.09,0.00
H3CCFO (1.38) mode 12,1905.52,0.11,1905.64,1905.52,0.11,0.00,1905.45,0.19,1905.45,0.19,-0.00
H3CCFO (1.38) mode 13,3067.89,-0.00,3067.89,3067.92,-0.03,-0.03,3067.86,0.03,3067.85,0.04,0.00
H3CCFO (1.38) mode 14,3141.35,0.01,3141.37,3141.33,0.04,0.02,3141.37,0.00,3141.36,0.00,0.00
H3CCFO (1.38) mode 15,3183.85,0.09,3183.94,3183.84,0.09,0.01,3183.93,0.01,3183.93,0.01,-0.00
CH3COOH (1.39) mode 1,78.28,-0.10,78.18,78.28,-0.11,-0.00,78.48,-0.30,78.48,-0.30,0.00
CH3COOH (1.39) mode 2,418.79,-0.02,418.77,418.79,-0.02,-0.00,418.81,-0.04,418.81,-0.04,-0.00
CH3COOH (1.39) mode 3,545.90,-0.17,545.73,545.90,-0.17,-0.00,545.77,-0.05,545.77,-0.04,0.00
CH3COOH (1.39) mode 4,584.22,-0.09,584.13,584.22,-0.09,0.00,584.15,-0.03,584.15,-0.03,0.00
CH3COOH (1.39) mode 5,664.35,0.12,664.47,664.34,0.13,0.01,664.44,0.03,664.44,0.03,0.00
CH3COOH (1.39) mode 6,869.92,-0.23,869.68,869.92,-0.24,-0.01,870.06,-0.37,870.05,-0.37,0.01
CH3COOH (1.39) mode 7,1005.70,-0.68,1005.02,1005.70,-0.68,-0.00,1005.35,-0.34,1005.40,-0.37,-0.05
CH3COOH (1.39) mode 8,1071.45,-0.10,1071.35,1071.45,-0.11,-0.00,1071.40,-0.05,1071.45,-0.10,-0.05
CH3COOH (1.39) mode 9,1220.82,-0.47,1220.34,1220.83,-0.49,-0.01,1220.30,0.04,1220.27,0.06,0.03
CH3COOH (1.39) mode 10,1355.81,-0.63,1355.18,1355.99,-0.80,-0.17,1355.94,-0.76,1355.36,-0.18,0.57
CH3COOH (1.39) mode 11,1421.31,0.95,1422.27,1421.13,1.15,0.18,1421.69,0.58,1422.20,0.07,-0.51
CH3COOH (1.39) mode 12,1481.10,0.13,1481.22,1481.10,0.12,-0.00,1480.97,0.26,1480.99,0.23,-0.02
CH3COOH (1.39) mode 13,1487.62,0.01,1487.62,1487.62,0.01,0.00,1487.58,0.05,1487.55,0.07,0.03
CH3COOH (1.39) mode 14,1836.80,0.31,1837.11,1836.80,0.31,0.00,1836.95,0.16,1836.95,0.16,-0.00
CH3COOH (1.39) mode 15,3064.97,-0.01,3064.96,3065.00,-0.04,-0.03,3064.92,0.03,3064.93,0.03,-0.00
CH3COOH (1.39) mode 16,3137.38,0.01,3137.39,3137.36,0.04,0.02,3137.39,0.00,3137.39,0.00,0.00
CH3COOH (1.39) mode 17,3180.48,0.09,3180.56,3180.46,0.09,0.01,3180.56,0.01,3180.54,0.01,0.01
CH3COOH (1.39) mode 18,3776.27,0.02,3776.29,3776.27,0.02,0.00,3776.29,0.01,3776.29,0.01,0.00
CH3OCHO (1.40) mode 1,144.98,-0.06,144.91,144.98,-0.06,-0.00,145.13,-0.22,145.13,-0.21,0.00
CH3OCHO (1.40) mode 2,311.02,-0.04,310.98,311.02,-0.04,-0.00,311.04,-0.06,311.04,-0.06,-0.00
CH3OCHO (1.40) mode 3,339.99,-0.02,339.98,339.99,-0.02,-0.00,339.99,-0.01,339.99,-0.01,-0.00
CH3OCHO (1.40) mode 4,777.03,-0.24,776.79,777.02,-0.24,0.01,776.83,-0.04,776.82,-0.04,0.00
CH3OCHO (1.40) mode 5,957.66,-0.06,957.60,957.65,-0.05,0.01,957.99,-0.39,958.00,-0.41,-0.02
CH3OCHO (1.40) mode 6,1049.47,-0.00,1049.47,1049.47,-0.00,0.00,1049.48,-0.02,1049.48,-0.01,0.00
CH3OCHO (1.40) mode 7,1185.13,-0.01,1185.12,1185.13,-0.01,0.00,1185.09,0.03,1185.08,0.04,0.01
CH3OCHO (1.40) mode 8,1197.15,-1.25,1195.91,1196.90,-0.99,0.26,1196.95,-1.05,1197.10,-1.20,-0.15
CH3OCHO (1.40) mode 9,1243.11,0.73,1243.84,1243.36,0.48,-0.26,1242.77,1.07,1242.65,1.19,0.12
CH3OCHO (1.40) mode 10,1404.44,0.11,1404.55,1404.46,0.09,-0.02,1404.61,-0.06,1404.62,-0.06,-0.00
CH3OCHO (1.40) mode 11,1472.84,-0.34,1472.50,1472.45,0.05,0.39,1472.66,-0.16,1472.51,-0.01,0.15
CH3OCHO (1.40) mode 12,1495.36,-0.03,1495.32,1495.36,-0.04,-0.01,1495.32,0.00,1495.32,0.01,0.00
CH3OCHO (1.40) mode 13,1509.46,0.33,1509.79,1509.82,-0.04,-0.37,1509.60,0.18,1509.73,0.05,-0.13
CH3OCHO (1.40) mode 14,1799.34,0.27,1799.60,1799.33,0.27,0.00,1799.50,0.11,1799.49,0.11,0.00
CH3OCHO (1.40) mode 15,3063.30,-0.00,3063.30,3063.30,-0.00,0.00,3063.38,-0.08,3063.39,-0.09,-0.00
CH3OCHO (1.40) mode 16,3078.26,0.01,3078.26,3078.27,-0.00,-0.01,3078.12,0.14,3078.12,0.14,0.00
CH3OCHO (1.40) mode 17,3143.86,0.02,3143.88,3143.86,0.02,0.00,3143.88,-0.00,3143.88,0.00,0.00
CH3OCHO (1.40) mode 18,3176.89,0.06,3176.95,3176.88,0.07,0.00,3176.95,0.01,3176.94,0.01,0.00
H3CCHO (1.41) mode 1,156.20,-0.08,156.12,156.21,-0.09,-0.01,156.45,-0.33,156.42,-0.30,0.03
H3CCHO (1.41) mode 2,503.59,-0.04,503.56,503.60,-0.04,-0.00,503.61,-0.05,503.61,-0.05,0.00
H3CCHO (1.41) mode 3,777.45,-0.04,777.41,777.45,-0.04,0.00,777.78,-0.37,777.75,-0.34,0.03
H3CCHO (1.41) mode 4,896.33,-0.78,895.54,896.25,-0.71,0.07,896.24,-0.70,896.18,-0.63,0.07
H3CCHO (1.41) mode 5,1132.49,-0.08,1132.41,1132.47,-0.06,0.02,1132.23,0.18,1132.25,0.16,-0.02
H3CCHO (1.41) mode 6,1134.39,0.05,1134.44,1134.50,-0.06,-0.11,1134.53,-0.08,1134.64,-0.20,-0.11
H3CCHO (1.41) mode 7,1383.06,0.10,1383.16,1383.03,0.13,0.03,1383.48,-0.31,1383.26,-0.10,0.22
H3CCHO (1.41) mode 8,1431.31,0.01,1431.32,1431.35,-0.03,-0.04,1431.47,-0.15,1431.38,-0.06,0.09
H3CCHO (1.41) mode 9,1469.86,0.07,1469.93,1469.85,0.08,0.01,1469.40,0.53,1469.68,0.25,-0.28
H3CCHO (1.41) mode 10,1481.23,-0.04,1481.19,1481.20,-0.01,0.03,1481.10,0.09,1481.08,0.11,0.02
H3CCHO (1.41) mode 11,1793.00,0.14,1793.14,1793.00,0.14,0.00,1792.94,0.20,1792.95,0.20,-0.00
H3CCHO (1.41) mode 12,2918.90,-0.02,2918.88,2918.90,-0.02,-0.00,2918.85,0.03,2918.85,0.03,0.00
H3CCHO (1.41) mode 13,3037.66,0.05,3037.72,3037.69,0.02,-0.03,3037.67,0.04,3037.65,0.07,0.02
H3CCHO (1.41) mode 14,3105.95,0.02,3105.97,3105.92,0.04,0.03,3105.97,0.00,3105.99,-0.02,-0.02
H3CCHO (1.41) mode 15,3156.15,0.06,3156.22,3156.15,0.07,0.01,3156.20,0.01,3156.21,0.01,-0.00
H3CCH2Cl (1.42) mode 1,261.91,-0.04,261.87,261.91,-0.04,0.00,261.89,-0.02,261.90,-0.03,-0.01
H3CCH2Cl (1.42) mode 2,331.55,-0.01,331.54,331.55,-0.01,-0.00,331.58,-0.04,331.59,-0.05,-0.01
H3CCH2Cl (1.42) mode 3,688.54,-0.04,688.50,688.53,-0.04,0.01,688.70,-0.21,688.72,-0.22,-0.02
H3CCH2Cl (1.42) mode 4,787.68,-0.04,787.64,787.71,-0.07,-0.02,787.72,-0.08,787.68,-0.04,0.04
H3CCH2Cl (1.42) mode 5,994.32,-1.09,993.23,994.34,-1.11,-0.02,994.05,-0.82,994.12,-0.89,-0.07
H3CCH2Cl (1.42) mode 6,1080.80,-0.03,1080.78,1080.78,-0.00,0.02,1080.93,-0.15,1081.06,-0.29,-0.14
H3CCH2Cl (1.42) mode 7,1093.67,0.41,1094.08,1093.67,0.41,0.00,1093.72,0.36,1093.73,0.35,-0.02
H3CCH2Cl (1.42) mode 8,1280.40,-0.00,1280.40,1280.41,-0.01,-0.01,1280.27,0.13,1280.17,0.22,0.10
H3CCH2Cl (1.42) mode 9,1321.83,-0.15,1321.69,1321.78,-0.09,0.06,1321.67,0.02,1321.69,-0.01,-0.02
H3CCH2Cl (1.42) mode 10,1413.96,0.29,1414.25,1414.04,0.20,-0.09,1414.03,0.22,1414.09,0.16,-0.06
H3CCH2Cl (1.42) mode 11,1492.93,-0.03,1492.91,1492.93,-0.02,0.01,1492.89,0.02,1492.88,0.03,0.02
H3CCH2Cl (1.42) mode 12,1498.16,0.10,1498.26,1498.65,-0.39,-0.49,1498.25,0.01,1498.13,0.12,0.11
H3CCH2Cl (1.42) mode 13,1507.51,0.03,1507.54,1507.00,0.54,0.52,1507.48,0.06,1507.48,0.06,-0.00
H3CCH2Cl (1.42) mode 14,3042.97,-0.01,3042.95,3042.97,-0.02,-0.00,3042.98,-0.02,3042.99,-0.04,-0.02
H3CCH2Cl (1.42) mode 15,3091.48,-0.17,3091.31,3091.47,-0.16,0.00,3091.31,0.00,3091.30,0.02,0.01
H3CCH2Cl (1.42) mode 16,3119.44,0.29,3119.73,3119.34,0.39,0.10,3119.65,0.08,3119.64,0.09,0.01
H3CCH2Cl (1.42) mode 17,3127.71,-0.00,3127.71,3127.78,-0.08,-0.07,3127.72,-0.01,3127.71,-0.00,0.01
H3CCH2Cl (1.42) mode 18,3154.37,0.01,3154.38,3154.40,-0.02,-0.03,3154.38,-0.00,3154.39,-0.01,-0.01
H3CCH3 (1.43) mode 1,310.01,-0.00,310.01,310.01,-0.00,-0.00,310.01,-0.00,310.01,-0.00,-0.00
H3CCH3 (1.43) mode 2,820.90,-0.04,820.85,820.90,-0.04,0.00,820.91,-0.05,820.93,-0.08,-0.02
H3CCH3 (1.43) mode 3,820.90,-0.04,820.85,820.90,-0.04,-0.00,820.91,-0.05,820.93,-0.08,-0.03
H3CCH3 (1.43) mode 4,1014.33,-0.40,1013.93,1014.34,-0.41,-0.01,1014.20,-0.27,1014.18,-0.26,0.02
H3CCH3 (1.43) mode 5,1224.81,-0.02,1224.79,1224.81,-0.02,-0.00,1224.82,-0.03,1224.84,-0.05,-0.02
H3CCH3 (1.43) mode 6,1224.82,-0.02,1224.79,1224.82,-0.02,0.00,1224.82,-0.03,1224.86,-0.07,-0.04
H3CCH3 (1.43) mode 7,1406.56,-0.03,1406.53,1406.56,-0.03,-0.00,1406.53,-0.00,1406.53,0.00,0.00
H3CCH3 (1.43) mode 8,1427.28,0.18,1427.46,1427.28,0.18,0.00,1427.34,0.12,1427.36,0.11,-0.02
H3CCH3 (1.43) mode 9,1510.74,0.09,1510.83,1510.89,-0.06,-0.15,1510.74,0.08,1510.31,0.52,0.43
H3CCH3 (1.43) mode 10,1511.00,-0.17,1510.83,1510.89,-0.06,0.11,1510.88,-0.05,1510.79,0.04,0.09
H3CCH3 (1.43) mode 11,1512.56,-0.04,1512.52,1512.57,-0.05,-0.01,1512.50,0.01,1512.49,0.02,0.01
H3CCH3 (1.43) mode 12,1512.61,-0.09,1512.52,1512.57,-0.05,0.04,1512.50,0.02,1512.99,-0.47,-0.49
H3CCH3 (1.43) mode 13,3037.99,0.01,3038.00,3037.98,0.02,0.01,3038.00,-0.00,3037.98,0.02,0.02
H3CCH3 (1.43) mode 14,3039.48,0.05,3039.53,3039.47,0.06,0.01,3039.50,0.03,3039.46,0.07,0.03
H3CCH3 (1.43) mode 15,3096.85,0.04,3096.88,3096.77,0.11,0.07,3096.57,0.31,3096.84,0.04,-0.27
H3CCH3 (1.43) mode 16,3096.85,0.04,3096.88,3096.86,0.02,-0.02,3097.18,-0.29,3096.89,-0.01,0.28
H3CCH3 (1.43) mode 17,3120.03,0.03,3120.06,3120.04,0.03,-0.01,3120.06,0.00,3120.07,-0.00,-0.01
H3CCH3 (1.43) mode 18,3120.03,0.03,3120.06,3120.10,-0.04,-0.07,3120.07,-0.00,3120.14,-0.08,-0.07
H3COCH3 (1.44) mode 1,203.10,-0.01,203.09,203.10,-0.01,-0.00,203.32,-0.23,203.32,-0.23,-0.00
H3COCH3 (1.44) mode 2,255.06,-0.01,255.06,255.07,-0.01,-0.00,255.15,-0.09,255.15,-0.09,-0.00
H3COCH3 (1.44) mode 3,418.91,-0.08,418.84,418.91,-0.07,0.01,418.90,-0.06,418.90,-0.07,-0.01
H3COCH3 (1.44) mode 4,964.20,-0.14,964.06,964.20,-0.13,0.00,964.16,-0.10,964.17,-0.11,-0.01
H3COCH3 (1.44) mode 5,1129.14,-0.34,1128.79,1129.00,-0.21,0.13,1130.27,-1.48,1130.77,-1.97,-0.49
H3COCH3 (1.44) mode 6,1169.40,-0.03,1169.37,1169.40,-0.03,0.00,1169.43,-0.06,1169.46,-0.09,-0.03
H3COCH3 (1.44) mode 7,1202.44,-0.03,1202.41,1202.44,-0.03,0.00,1202.43,-0.02,1202.45,-0.04,-0.01
H3COCH3 (1.44) mode 8,1211.99,0.12,1212.11,1212.11,0.00,-0.12,1211.07,1.04,1210.79,1.32,0.28
H3COCH3 (1.44) mode 9,1277.43,-0.02,1277.41,1277.43,-0.03,-0.01,1277.41,-0.00,1277.49,-0.08,-0.08
H3COCH3 (1.44) mode 10,1460.05,0.06,1460.11,1460.04,0.07,0.01,1460.14,-0.04,1460.18,-0.08,-0.04
H3COCH3 (1.44) mode 11,1490.52,-0.07,1490.45,1490.47,-0.02,0.05,1490.40,0.05,1490.41,0.05,-0.00
H3COCH3 (1.44) mode 12,1496.46,-1.48,1494.98,1495.39,-0.41,1.07,1495.38,-0.40,1494.86,0.12,0.52
H3COCH3 (1.44) mode 13,1500.33,-0.26,1500.07,1500.10,-0.03,0.23,1500.05,0.02,1500.06,0.01,-0.01
H3COCH3 (1.44) mode 14,1508.71,-0.02,1508.70,1508.77,-0.07,-0.06,1508.52,0.18,1508.36,0.33,0.15
H3COCH3 (1.44) mode 15,1525.24,1.58,1526.82,1526.52,0.30,-1.29,1526.41,0.41,1526.79,0.03,-0.38
H3COCH3 (1.44) mode 16,2978.26,-0.06,2978.19,2978.26,-0.07,-0.00,2978.14,0.06,2978.13,0.07,0.01
H3COCH3 (1.44) mode 17,2987.46,-0.02,2987.43,2987.46,-0.03,-0.01,2987.41,0.02,2987.39,0.05,0.03
H3COCH3 (1.44) mode 18,3030.81,0.03,3030.84,3030.81,0.03,0.00,3030.84,0.00,3030.84,0.00,0.00
H3COCH3 (1.44) mode 19,3036.21,0.04,3036.25,3036.21,0.04,-0.00,3036.24,0.01,3036.27,-0.02,-0.03
H3COCH3 (1.44) mode 20,3129.03,0.12,3129.14,3129.02,0.13,0.01,3129.14,0.00,3129.14,0.01,0.01
H3COCH3 (1.44) mode 21,3130.82,0.12,3130.94,3130.83,0.12,-0.00,3130.92,0.02,3130.95,-0.00,-0.02
EtOH (1.45) mode 1,235.70,-0.29,235.41,235.70,-0.29,-0.01,235.61,-0.19,235.60,-0.18,0.01
EtOH (1.45) mode 2,280.72,-0.09,280.63,280.72,-0.08,0.01,280.54,0.09,280.55,0.08,-0.01
EtOH (1.45) mode 3,413.78,-0.03,413.74,413.78,-0.04,-0.01,413.80,-0.05,413.81,-0.06,-0.01
EtOH (1.45) mode 4,818.68,0.02,818.70,818.68,0.02,-0.00,818.80,-0.10,818.76,-0.06,0.04
EtOH (1.45) mode 5,909.56,-0.43,909.14,909.58,-0.44,-0.01,909.45,-0.31,909.48,-0.34,-0.03
EtOH (1.45) mode 6,1052.19,-1.41,1050.78,1052.30,-1.51,-0.10,1052.28,-1.50,1052.36,-1.57,-0.07
EtOH (1.45) mode 7,1120.55,0.93,1121.47,1120.44,1.03,0.11,1120.51,0.97,1120.44,1.03,0.06
EtOH (1.45) mode 8,1187.10,-0.06,1187.04,1187.10,-0.06,-0.00,1187.68,-0.64,1187.88,-0.84,-0.21
EtOH (1.45) mode 9,1285.00,0.13,1285.13,1284.98,0.15,0.02,1285.01,0.12,1285.02,0.11,-0.01
EtOH (1.45) mode 10,1306.07,0.02,1306.08,1306.08,0.00,-0.02,1305.45,0.63,1305.31,0.78,0.15
EtOH (1.45) mode 11,1403.37,-0.15,1403.22,1403.35,-0.13,0.02,1403.29,-0.07,1403.27,-0.05,0.02
EtOH (1.45) mode 12,1468.07,-0.03,1468.04,1468.55,-0.52,-0.49,1467.94,0.10,1467.99,0.05,-0.05
EtOH (1.45) mode 13,1489.66,0.01,1489.67,1489.61,0.06,0.05,1489.66,0.00,1489.63,0.04,0.03
EtOH (1.45) mode 14,1508.12,0.29,1508.41,1507.78,0.63,0.33,1508.49,-0.09,1508.36,0.05,0.13
EtOH (1.45) mode 15,1538.28,0.13,1538.40,1538.22,0.18,0.06,1538.07,0.33,1538.17,0.24,-0.10
EtOH (1.45) mode 16,3000.38,-0.06,3000.32,3000.36,-0.04,0.02,3000.26,0.06,3000.28,0.04,-0.02
EtOH (1.45) mode 17,3032.34,-0.01,3032.33,3032.32,0.01,0.02,3032.30,0.03,3032.33,0.00,-0.03
EtOH (1.45) mode 18,3045.05,0.07,3045.11,3045.13,-0.01,-0.08,3045.11,0.00,3045.09,0.02,0.02
EtOH (1.45) mode 19,3123.28,0.05,3123.33,3123.26,0.07,0.02,3123.33,0.00,3123.28,0.05,0.05
EtOH (1.45) mode 20,3128.30,0.06,3128.35,3128.27,0.08,0.02,3128.39,-0.03,3128.40,-0.05,-0.02
EtOH (1.45) mode 21,3857.29,0.01,3857.30,3857.29,0.01,-0.00,3857.30,0.00,3857.29,0.00,0.00
H3CCN (1.46) mode 1,361.14,-0.00,361.14,361.14,-0.00,0.00,361.26,-0.12,361.26,-0.12,0.00
H3CCN (1.46) mode 2,361.14,-0.00,361.14,361.14,-0.00,-0.00,361.26,-0.12,361.26,-0.12,-0.00
H3CCN (1.46) mode 3,921.63,-0.35,921.28,921.63,-0.35,0.00,921.96,-0.68,921.96,-0.68,-0.00
H3CCN (1.46) mode 4,1062.21,-0.08,1062.13,1062.20,-0.08,0.00,1062.15,-0.02,1062.15,-0.02,-0.00
H3CCN (1.46) mode 5,1062.21,-0.08,1062.13,1062.21,-0.08,-0.00,1062.15,-0.02,1062.15,-0.02,-0.00
H3CCN (1.46) mode 6,1413.83,0.19,1414.02,1413.83,0.18,-0.00,1414.01,0.01,1414.01,0.01,0.00
H3CCN (1.46) mode 7,1487.60,-0.03,1487.57,1487.60,-0.03,0.00,1487.52,0.04,1487.52,0.04,0.00
H3CCN (1.46) mode 8,1487.60,-0.03,1487.57,1487.60,-0.03,-0.00,1487.52,0.04,1487.52,0.04,0.00
H3CCN (1.46) mode 9,2298.75,-0.03,2298.73,2298.75,-0.03,0.00,2298.57,0.15,2298.57,0.15,0.00
H3CCN (1.46) mode 10,3065.98,0.04,3066.03,3065.99,0.04,-0.00,3065.93,0.10,3065.94,0.09,-0.01
H3CCN (1.46) mode 11,3149.87,0.04,3149.91,3149.87,0.04,-0.00,3149.91,0.00,3149.91,0.00,-0.00
H3CCN (1.46) mode 12,3149.88,0.04,3149.91,3149.87,0.04,0.00,3149.92,-0.01,3149.91,0.00,0.01
CHCCH3 (1.47) mode 1,322.48,-0.05,322.43,322.48,-0.04,0.00,322.50,-0.07,322.50,-0.07,0.00
CHCCH3 (1.47) mode 2,322.48,-0.04,322.43,322.48,-0.05,-0.00,322.51,-0.07,322.50,-0.07,0.00
CHCCH3 (1.47) mode 3,619.77,0.01,619.78,619.77,0.01,0.00,619.79,-0.01,619.78,-0.00,0.00
CHCCH3 (1.47) mode 4,619.77,0.01,619.78,619.77,0.01,0.00,619.79,-0.01,619.79,-0.00,0.00
CHCCH3 (1.47) mode 5,935.80,-0.30,935.50,935.80,-0.30,0.00,936.12,-0.62,936.13,-0.63,-0.00
CHCCH3 (1.47) mode 6,1059.99,-0.05,1059.94,1059.99,-0.05,-0.00,1060.01,-0.07,1060.01,-0.07,-0.00
CHCCH3 (1.47) mode 7,1059.99,-0.05,1059.94,1059.99,-0.05,-0.00,1060.01,-0.07,1060.02,-0.07,-0.00
CHCCH3 (1.47) mode 8,1417.00,0.12,1417.12,1417.01,0.11,-0.00,1417.09,0.03,1417.09,0.03,0.00
CHCCH3 (1.47) mode 9,1491.41,-0.05,1491.36,1491.41,-0.05,-0.00,1491.29,0.06,1491.29,0.07,0.00
CHCCH3 (1.47) mode 10,1491.41,-0.05,1491.36,1491.41,-0.05,-0.00,1491.29,0.06,1491.29,0.07,0.00
CHCCH3 (1.47) mode 11,2177.64,-0.04,2177.61,2177.64,-0.03,0.00,2177.48,0.13,2177.48,0.13,0.00
CHCCH3 (1.47) mode 12,3048.29,0.05,3048.35,3048.30,0.05,-0.00,3048.25,0.09,3048.27,0.08,-0.01
CHCCH3 (1.47) mode 13,3122.29,0.04,3122.33,3122.29,0.04,-0.00,3122.33,0.00,3122.33,0.00,-0.00
CHCCH3 (1.47) mode 14,3122.29,0.04,3122.33,3122.29,0.04,0.01,3122.34,-0.01,3122.33,0.00,0.02
CHCCH3 (1.47) mode 15,3470.24,0.01,3470.25,3470.24,0.01,0.00,3470.25,0.01,3470.25,0.01,0.00
F3CCN (1.48) mode 1,189.87,-0.00,189.86,189.87,-0.00,-0.00,190.43,-0.56,190.44,-0.58,-0.02
F3CCN (1.48) mode 2,189.87,-0.00,189.86,189.87,-0.00,-0.00,190.47,-0.60,190.55,-0.68,-0.08
F3CCN (1.48) mode 3,469.37,-0.04,469.33,469.37,-0.04,-0.00,469.32,0.01,469.33,0.00,-0.01
F3CCN (1.48) mode 4,469.37,-0.04,469.33,469.37,-0.04,-0.00,469.33,0.00,469.34,-0.01,-0.02
F3CCN (1.48) mode 5,527.43,-0.28,527.15,527.43,-0.28,-0.00,527.38,-0.23,527.38,-0.22,0.00
F3CCN (1.48) mode 6,629.28,0.02,629.30,629.28,0.02,0.00,629.14,0.16,629.11,0.19,0.03
F3CCN (1.48) mode 7,629.28,0.02,629.30,629.28,0.02,0.00,629.16,0.15,629.15,0.15,0.01
F3CCN (1.48) mode 8,821.12,-0.04,821.09,821.13,-0.04,-0.00,821.60,-0.51,821.60,-0.51,-0.00
F3CCN (1.48) mode 9,1258.39,0.14,1258.53,1258.52,0.01,-0.13,1258.44,0.09,1258.08,0.45,0.36
F3CCN (1.48) mode 10,1258.52,0.01,1258.53,1258.52,0.01,-0.00,1258.52,0.01,1258.52,0.01,0.00
F3CCN (1.48) mode 11,1258.86,-0.01,1258.85,1258.76,0.10,0.11,1259.05,-0.19,1259.41,-0.55,-0.36
F3CCN (1.48) mode 12,2304.39,0.01,2304.40,2304.38,0.01,0.00,2304.10,0.29,2304.10,0.29,-0.00
SiCl4 (1.49) mode 1,146.56,-0.00,146.56,146.57,-0.00,-0.00,146.68,-0.12,146.84,-0.28,-0.17
SiCl4 (1.49) mode 2,146.57,0.00,146.57,146.57,0.00,0.00,146.69,-0.12,147.21,-0.64,-0.52
SiCl4 (1.49) mode 3,221.59,-0.05,221.54,221.55,-0.02,0.03,221.64,-0.10,221.41,0.13,0.23
SiCl4 (1.49) mode 4,221.64,-0.08,221.56,221.55,0.00,0.08,221.65,-0.10,221.56,0.00,0.10
SiCl4 (1.49) mode 5,221.67,0.11,221.78,221.78,-0.01,-0.12,221.67,0.10,221.70,0.08,-0.03
SiCl4 (1.49) mode 6,424.70,0.00,424.70,424.70,0.00,0.00,424.92,-0.21,424.70,0.00,0.21
SiCl4 (1.49) mode 7,627.17,-0.01,627.16,627.17,-0.01,-0.00,627.03,0.13,627.09,0.07,-0.06
SiCl4 (1.49) mode 8,627.19,0.00,627.19,627.19,0.01,0.00,627.16,0.03,627.15,0.04,0.01
SiCl4 (1.49) mode 9,627.22,0.01,627.23,627.22,0.01,-0.00,627.17,0.05,627.19,0.03,-0.02
SiF4 (1.50) mode 1,263.24,-0.02,263.22,263.24,-0.02,-0.01,263.30,-0.08,263.36,-0.15,-0.07
SiF4 (1.50) mode 2,263.25,0.02,263.27,263.25,0.02,0.01,263.37,-0.10,263.51,-0.24,-0.14
SiF4 (1.50) mode 3,387.76,-0.04,387.72,387.75,-0.03,0.01,387.65,0.07,387.71,0.01,-0.05
SiF4 (1.50) mode 4,387.78,-0.02,387.76,387.78,-0.02,-0.00,387.76,0.01,387.75,0.01,0.01
SiF4 (1.50) mode 5,387.80,-0.02,387.78,387.80,-0.02,-0.01,387.78,-0.00,387.78,0.00,0.01
SiF4 (1.50) mode 6,798.06,-0.00,798.06,798.06,-0.00,0.00,798.09,-0.03,798.06,-0.00,0.03
SiF4 (1.50) mode 7,1038.04,0.00,1038.05,1038.04,0.00,0.00,1038.03,0.02,1038.02,0.03,0.01
SiF4 (1.50) mode 8,1038.05,0.01,1038.06,1038.05,0.01,0.00,1038.05,0.01,1038.02,0.04,0.03
SiF4 (1.50) mode 9,1038.05,0.01,1038.07,1038.05,0.01,-0.00,1038.05,0.02,1038.04,0.03,0.01
SiH3SiH3 (1.51) mode 1,137.39,-0.00,137.39,137.39,-0.00,0.00,137.39,-0.00,137.39,-0.00,0.00
SiH3SiH3 (1.51) mode 2,371.94,-0.01,371.94,371.94,-0.01,-0.00,371.96,-0.02,371.96,-0.02,-0.00
SiH3SiH3 (1.51) mode 3,371.95,-0.00,371.95,371.95,-0.00,-0.00,371.97,-0.02,371.96,-0.02,0.00
SiH3SiH3 (1.51) mode 4,437.95,-0.00,437.94,437.95,-0.00,0.00,437.98,-0.03,437.98,-0.03,0.00
SiH3SiH3 (1.51) mode 5,636.90,-0.00,636.90,636.90,-0.00,-0.00,636.96,-0.05,636.94,-0.04,0.01
SiH3SiH3 (1.51) mode 6,636.91,-0.00,636.90,636.91,-0.00,0.00,636.96,-0.05,636.96,-0.05,0.00
SiH3SiH3 (1.51) mode 7,860.79,-0.00,860.79,860.80,-0.00,-0.00,860.79,0.00,860.79,-0.00,-0.00
SiH3SiH3 (1.51) mode 8,935.18,0.00,935.18,935.18,-0.00,-0.00,935.17,0.01,935.17,0.01,-0.00
SiH3SiH3 (1.51) mode 9,952.27,-0.00,952.27,952.27,-0.01,-0.00,951.98,0.29,952.25,0.02,-0.26
SiH3SiH3 (1.51) mode 10,952.28,0.00,952.28,952.28,0.00,0.00,952.51,-0.23,952.25,0.03,0.26
SiH3SiH3 (1.51) mode 11,966.37,-0.00,966.37,966.37,-0.00,0.00,966.35,0.02,966.39,-0.02,-0.04
SiH3SiH3 (1.51) mode 12,966.39,0.00,966.39,966.39,0.00,-0.00,966.41,-0.02,966.39,0.00,0.02
SiH3SiH3 (1.51) mode 13,2221.81,0.01,2221.82,2221.75,0.07,0.06,2221.82,-0.00,2221.76,0.06,0.06
SiH3SiH3 (1.51) mode 14,2229.68,-0.00,2229.68,2229.61,0.07,0.07,2229.40,0.28,2229.52,0.15,-0.13
